ENTREZID	SYMBOL
7341	SUMO1
222487	ADGRG3
4602	MYB
56943	ENY2
7398	USP1
64108	RTP4
571	BACH1
84875	PARP10
171392	ZNF675
5597	MAPK6
51714	SELENOT
10902	BRD8
79047	KCTD15
11009	IL24
151188	ARL6IP6
7319	UBE2A
675	BRCA2
6726	SRP9
57085	AGTRAP
23523	CABIN1
225	ABCD2
154881	KCTD7
84953	NA
51155	JPT1
493860	CCDC73
100113407	TMEM170B
27242	TNFRSF21
126259	TMIGD2
23550	PSD4
9097	USP14
5515	PPP2CA
3727	JUND
283521	TMEM272
11260	XPOT
5203	PFDN4
26586	CKAP2
7181	NR2C1
257415	FAM133B
8558	CDK10
440193	CCDC88C
1606	DGKA
55364	IMPACT
23480	SEC61G
163051	ZNF709
1293	COL6A3
222161	DKFZP586I1420
105373480	LOC105373480
10749	KIF1C
23022	PALLD
55839	CENPN
9605	VPS9D1
6404	SELPLG
126295	ZNF57
143684	FAM76B
51166	AADAT
729678	LINC00847
101243545	LINC02067
4556	TRNE
1789	DNMT3B
2982	GUCY1A1
4563	TRNG
169841	ZNF169
93349	SP140L
92369	SPSB4
7386	UQCRFS1
53405	CLIC5
25981	DNAH1
64783	RBM15
9709	HERPUD1
8883	NAE1
7187	TRAF3
1164	CKS2
9914	ATP2C2
22843	PPM1E
27230	SERP1
100499177	THAP9-AS1
147339	C18orf25
51142	CHCHD2
6635	SNRPE
376940	ZC3H6
6744	ITPRID2
9961	MVP
256364	EML3
9643	MORF4L2
57463	AMIGO1
4564	TRNH
27037	TRMT2A
257106	ARHGAP30
57804	POLD4
342132	ZNF774
2495	FTH1
10605	PAIP1
214	ALCAM
91523	PCED1B
4568	TRNL2
197258	FCSK
102723508	KANTR
155038	GIMAP8
8418	CMAHP
10314	LANCL1
4357	MPST
100131017	ZNF316
23533	PIK3R5
2146	EZH2
5150	PDE7A
26207	PITPNC1
55432	YOD1
54205	CYCS
8407	TAGLN2
64412	GZF1
11322	TMC6
10493	VAT1
9741	LAPTM4A
8915	BCL10
84833	ATP5MK
121441	NEDD1
117145	THEM4
400657	ZNF407-AS1
10911	UTS2
26775	SNORA72
55207	ARL8B
9076	CLDN1
64132	XYLT2
344558	SH3RF3
286336	FAM78A
23180	RFTN1
282991	BLOC1S2
7474	WNT5A
10635	RAD51AP1
64852	TUT1
102724094	MUC12-AS1
7532	YWHAG
10265	IRX5
3268	AGFG2
54165	DCUN1D1
23211	ZC3H4
91368	CDKN2AIPNL
85301	COL27A1
84056	KATNAL1
1843	DUSP1
28648	TRAV34
283358	B4GALNT3
1236	CCR7
149420	PDIK1L
22930	RAB3GAP1
9159	PCSK7
114904	C1QTNF6
57719	ANO8
11073	TOPBP1
9881	TRANK1
101927497	CDK6-AS1
2588	GALNS
3661	IRF3
4665	NAB2
4577	TRNV
5223	PGAM1
9079	LDB2
10129	FRY
23526	ARHGAP45
440926	H3P6
55198	APPL2
126282	TNFAIP8L1
79930	DOK3
23204	ARL6IP1
2037	EPB41L2
10933	MORF4L1
10857	PGRMC1
55012	PPP2R3C
55268	ECHDC2
81606	LBH
81619	TSPAN14
10920	COPS8
96459	FNIP1
580	BARD1
55211	DPPA4
2317	FLNB
5293	PIK3CD
6002	RGS12
6307	MSMO1
7915	ALDH5A1
6303	SAT1
646719	NIPBL-DT
2014	EMP3
7433	VIPR1
28583	TRBV10-3
55139	ANKZF1
1154	CISH
51639	SF3B6
160851	DGKH
285958	SNHG15
7280	TUBB2A
8536	CAMK1
89122	TRIM4
100750325	RCAN3AS
81624	DIAPH3
55144	LRRC8D
79791	FBXO31
23094	SIPA1L3
7549	ZNF2
54882	ANKHD1
2534	FYN
2098	ESD
87	ACTN1
9645	MICAL2
64777	RMND5B
56852	RAD18
147138	TMC8
23047	PDS5B
81602	CDADC1
2793	GNGT2
9814	SFI1
128611	ZNF831
9895	TECPR2
57701	NCKAP5L
10253	SPRY2
3422	IDI1
4576	TRNT
65062	TMEM237
23471	TRAM1
23367	LARP1
79915	ATAD5
6197	RPS6KA3
401647	GOLGA7B
4571	TRNP
5586	PKN2
11196	SEC23IP
140711	TLDC2
7710	ZNF154
665	BNIP3L
65983	GRAMD2B
5023	P2RX1
8575	PRKRA
79065	ATG9A
80781	COL18A1
3995	FADS3
1894	ECT2
79602	ADIPOR2
23234	DNAJC9
5790	PTPRCAP
50943	FOXP3
4155	MBP
6596	HLTF
51143	DYNC1LI1
57446	NDRG3
64761	PARP12
93487	MAPK1IP1L
5879	RAC1
55760	DHX32
83872	HMCN1
57558	USP35
1493	CTLA4
5429	POLH
55069	TMEM248
9051	PSTPIP1
6434	TRA2B
23186	RCOR1
4034	LRCH4
100316904	SAP25
923	CD6
7844	RNF103
10797	MTHFD2
1977	EIF4E
10694	CCT8
6773	STAT2
28643	TRAV38-2DV8
26049	FAM169A
89944	GLB1L2
84168	ANTXR1
5393	EXOSC9
79682	CENPU
6490	PMEL
26804	SNORD45B
3575	IL7R
6650	CAPN15
51496	CTDSPL2
28680	TRAV8-6
9585	KIF20B
50619	DEF6
57186	RALGAPA2
2580	GAK
10772	SRSF10
730091	LINC00886
6778	STAT6
9774	BCLAF1
3241	HPCAL1
2776	GNAQ
25934	NIPSNAP3A
10938	EHD1
25970	SH2B1
9989	PPP4R1
2787	GNG5
7804	LRP8
388524	RPSAP58
10542	LAMTOR5
10964	IFI44L
27086	FOXP1
24149	ZNF318
83540	NUF2
100132707	PAXIP1-AS2
3064	HTT
161145	TMEM229B
7323	UBE2D3
961	CD47
53346	TM6SF1
2171	FABP5
57732	ZFYVE28
79718	TBL1XR1
378	ARF4
8847	DLEU2
9631	NUP155
2592	GALT
26286	ARFGAP3
80344	DCAF11
24139	EML2
101929010	SIRPG-AS1
908	CCT6A
23133	PHF8
51735	RAPGEF6
92806	CENPBD1P
389043	LINC01120
152503	SH3D19
27338	UBE2S
374443	LOC374443
8444	DYRK3
113174	SAAL1
7089	TLE2
7508	XPC
3588	IL10RB
80325	ABTB1
9057	SLC7A6
1386	ATF2
134429	STARD4
116985	ARAP1
5617	PRL
5621	PRNP
5728	PTEN
84832	ANKRD36BP1
1649	DDIT3
101928465	LOC101928465
1374	CPT1A
29887	SNX10
111	ADCY5
10049	DNAJB6
101928000	ZNF232-AS1
64399	HHIP
22995	CEP152
23421	ITGB3BP
10884	MRPS30
23274	CLEC16A
2004	ELK3
64225	ATL2
11262	SP140
283349	RASSF3
5869	RAB5B
84720	PIGO
79652	TMEM204
144100	PLEKHA7
54737	MPHOSPH8
23077	MYCBP2
116461	TSEN15
5718	PSMD12
25926	NOL11
10459	MAD2L2
100422872	MIR1244-3
7011	TEP1
728392	LOC728392
78987	CRELD1
54619	CCNJ
84945	ABHD13
2814	GP5
51002	TPRKB
57634	EP400
55236	UBA6
28984	RGCC
1960	EGR3
7417	VDAC2
55846	ITFG2
55534	MAML3
126321	MFSD12
5778	PTPN7
1992	SERPINB1
9942	XYLB
65264	UBE2Z
25766	PRPF40B
394	ARHGAP5
25777	SUN2
10952	SEC61B
55167	MSL2
80760	ITIH5
51070	NOSIP
4690	NCK1
11326	VSIG4
51225	ABI3
51053	GMNN
79609	VCPKMT
3725	JUN
9497	SLC4A7
388559	ZNF888
388963	C2orf81
50808	AK3
85437	ZCRB1
140465	MYL6B
201163	FLCN
1021	CDK6
11119	BTN3A1
9706	ULK2
55629	PNRC2
23149	FCHO1
5700	PSMC1
79958	DENND1C
23271	CAMSAP2
81832	NETO1
645432	ARRDC5
84790	TUBA1C
57655	GRAMD1A
115426	UHRF2
9341	VAMP3
6921	ELOC
29980	DONSON
2041	EPHA1
4575	TRNS2
9556	ATP5MJ
132160	PPM1M
641648	SNORD87
3071	NCKAP1L
677806	SNORA20
414149	ACBD7
9459	ARHGEF6
55704	CCDC88A
26227	PHGDH
7738	ZNF184
5536	PPP5C
157	GRK3
26053	AUTS2
100505715	LOC100505715
2175	FANCA
55186	SLC25A36
3104	ZBTB48
157285	PRAG1
28656	TRAV26-2
28677	TRAV9-2
11040	PIM2
841	CASP8
10212	DDX39A
8934	RAB29
100996485	PITX1-AS1
8520	HAT1
144363	ETFRF1
9674	KIAA0040
3514	IGKC
79058	ASPSCR1
7841	MOGS
729732	LOC729732
84445	LZTS2
56940	DUSP22
101928865	LINC02728
1241	LTB4R
195828	ZNF367
55252	ASXL2
3059	HCLS1
83990	BRIP1
5955	RCN2
4558	TRNF
3948	LDHC
92162	TMEM88
5534	PPP3R1
51765	STK26
28657	TRAV26-1
26001	RNF167
89891	DYNC2I2
286144	TRIQK
944	TNFSF8
64946	CENPH
55631	LRRC40
304	ANXA2P2
54107	POLE3
28655	TRAV27
28601	TRBV6-6
9134	CCNE2
4669	NAGLU
155054	ZNF425
2114	ETS2
2120	ETV6
7471	WNT1
132	ADK
4833	NME4
387	RHOA
51218	GLRX5
129293	TRABD2A
996	CDC27
122809	SOCS4
7594	ZNF43
121274	ZNF641
5330	PLCB2
64089	SNX16
4567	TRNL1
22877	MLXIP
27089	UQCRQ
9203	ZMYM3
54465	ETAA1
168544	ZNF467
6484	ST3GAL4
9611	NCOR1
2322	FLT3
79666	PLEKHF2
3021	H3-3B
5880	RAC2
9398	CD101
9289	ADGRG1
92822	ZNF276
283578	TMED8
23512	SUZ12
8349	H2BC21
26534	OR10G2
10383	TUBB4B
79071	ELOVL6
916	CD3E
7480	WNT10B
105369174	NA
3320	HSP90AA1
8848	TSC22D1
55777	MBD5
93145	OLFM2
4710	NDUFB4
100131067	CKMT2-AS1
51667	NUB1
351	APP
4163	MCC
2022	ENG
91574	MTRFR
10018	BCL2L11
100289678	ZNF783
51187	RSL24D1
10075	HUWE1
55072	RNF31
900	CCNG1
1351	COX8A
28610	TRBV5-5
10733	PLK4
3983	ABLIM1
200081	TXLNA
83752	LONP2
105	ADARB2
100137047	JMJD7
8445	DYRK2
259283	MDS2
22894	DIS3
100506499	NA
55275	VPS53
518	ATP5MC3
100129543	ZNF730
22937	SCAP
129080	EMID1
55345	ZGRF1
23506	BICRAL
11215	AKAP11
339229	OXLD1
51668	HSPB11
56942	CMC2
7431	VIM
54910	SEMA4C
120425	JAML
23154	NCDN
284695	ZNF326
51026	GOLT1B
123103	KLHL33
57575	PCDH10
23616	SH3BP1
55969	RAB5IF
83715	ESPN
10180	RBM6
57484	RNF150
92305	TMEM129
55132	LARP1B
8496	PPFIBP1
140831	ZSWIM3
100506476	LOC100506476
10657	KHDRBS1
4174	MCM5
5583	PRKCH
64207	IRF2BPL
728927	ZNF736
125704	DIPK1C
80829	ZFP91
84941	HSH2D
2533	FYB1
90390	MED30
11264	PXMP4
51251	NT5C3A
3799	KIF5B
4836	NMT1
373156	GSTK1
64219	PJA1
55313	CPPED1
3638	INSIG1
55423	SIRPG
10948	STARD3
51247	PAIP2
57654	UVSSA
23509	POFUT1
9797	TATDN2
11051	NUDT21
26010	SPATS2L
337867	UBAC2
23412	COMMD3
8085	KMT2D
440104	TMEM198B
9466	IL27RA
84265	POLR3GL
3070	HELLS
4553	TRNA
1032	CDKN2D
205327	C2orf69
64422	ATG3
5786	PTPRA
947	CD34
340602	EZHIP
28611	TRBV5-4
29123	ANKRD11
4046	LSP1
89845	ABCC10
91351	DDX60L
3475	IFRD1
9919	SEC16A
84766	CRACR2A
100130744	LOC100130744
514	ATP5F1E
57710	KIAA1614
55312	RFK
9735	KNTC1
113878	DTX2
94235	GNG8
8793	TNFRSF10D
2820	GPD2
50999	TMED5
91869	RFT1
4548	MTR
56938	ARNTL2
54851	ANKRD49
10487	CAP1
100887750	MRPS31P5
6659	SOX4
283652	SLC24A5
81794	ADAMTS10
11132	CAPN10
9314	KLF4
3689	ITGB2
80218	NAA50
6041	RNASEL
130502	TTC32
262	AMD1
5885	RAD21
57462	MYORG
5982	RFC2
677812	SNORA29
49854	ZBTB21
51569	UFM1
55262	TRAPPC14
4085	MAD2L1
10750	GRAP
401399	PRRT4
203547	VMA21
51552	RAB14
8836	GGH
55103	RALGPS2
285315	C3orf33
401258	RAB44
22927	HABP4
102724009	KIF1C-AS1
28620	TRBV2
25775	YWHAH-AS1
440712	RHEX
9522	SCAMP1
917	CD3G
302	ANXA2
9725	TMEM63A
9830	TRIM14
51320	MEX3C
5747	PTK2
23396	PIP5K1C
91355	LRP5L
10124	ARL4A
7494	XBP1
692072	SNORD5
23520	ANP32C
84969	TOX2
201158	TVP23C
57045	TWSG1
441531	PGAM4
1959	EGR2
79735	TBC1D17
79921	TCEAL4
401303	ZNF815P
642273	FAM110C
54856	GON4L
1163	CKS1B
84939	PWWP3A
951	CD37
53373	TPCN1
85455	DISP2
7884	SLBP
23067	SETD1B
26119	LDLRAP1
123	PLIN2
1983	EIF5
51427	ZNF107
90637	ZFAND2A
3949	LDLR
1071	CETP
51306	FAM13B
158234	TRMT10B
388	RHOB
441155	LOC441155
126731	CCSAP
26994	RNF11
3612	IMPA1
92815	H2AW
10393	ANAPC10
55327	LIN7C
89801	PPP1R3F
64645	MFSD14A
29979	UBQLN1
126299	ZNF428
64788	LMF1
57707	MEAK7
51332	SPTBN5
6585	SLIT1
23064	SETX
27075	TSPAN13
1730	DIAPH2
51123	ZNF706
6392	SDHD
607	BCL9
919	CD247
1387	CREBBP
60559	SPCS3
55028	C17orf80
284323	ZNF780A
25839	COG4
10440	TIMM17A
160622	TAMALIN
3157	HMGCS1
440465	BAIAP2-DT
1609	DGKQ
23357	ANGEL1
25994	HIGD1A
28663	TRAV20
80155	NAA15
50618	ITSN2
114819	CROCCP3
56241	SUSD2
6013	RLN1
3336	HSPE1
51637	RTRAF
11151	CORO1A
239	ALOX12
23764	MAFF
10181	RBM5
146857	SLFN13
5111	PCNA
55270	NUDT15
199675	MCEMP1
6641	SNTB1
2069	EREG
65084	TMEM135
84451	MAP3K21
100996579	LINC01806
9019	MPZL1
285386	TPRG1
83452	RAB33B
7750	ZMYM2
51199	NIN
3600	IL15
3267	AGFG1
9348	NDST3
3512	JCHAIN
55299	BRIX1
55744	COA1
1800	DPEP1
5682	PSMA1
10206	TRIM13
5805	PTS
3309	HSPA5
1768	DNAH6
9401	RECQL4
744	MPPED2
84622	ZNF594
84930	MASTL
123355	LRRC28
84464	SLX4
7913	DEK
6427	SRSF2
51633	OTUD6B
83443	SF3B5
8826	IQGAP1
8073	PTP4A2
51304	ZDHHC3
10284	SAP18
10403	NDC80
84932	RAB2B
342538	NACA2
84798	C19orf48
998	CDC42
1102	RCBTB2
8079	MLF2
8027	STAM
55841	WWC3
51006	SLC35C2
55187	VPS13D
285513	GPRIN3
7552	ZNF711
677792	SNORA1
3020	H3-3A
339290	LINC00667
55819	RNF130
6608	SMO
54793	KCTD9
11171	STRAP
25978	CHMP2B
643836	ZFP62
285965	EPHA1-AS1
84101	USP44
10981	RAB32
148867	SLC30A7
91754	NEK9
9540	TP53I3
5861	RAB1A
50804	MYEF2
55008	HERC6
55785	FGD6
286826	LIN9
201595	STT3B
50807	ASAP1
51104	ABHD17B
60468	BACH2
2553	GABPB1
137994	LETM2
5557	PRIM1
81571	MIR600HG
167127	UGT3A2
54414	SIAE
9412	MED21
84057	MND1
59345	GNB4
56900	TMEM167B
643253	CCT6P1
30836	DNTTIP2
8318	CDC45
4222	MEOX1
54504	CPVL
148808	MFSD4A
7102	TSPAN7
255252	LRRC57
645811	CCDC154
6886	TAL1
121506	ERP27
29967	LRP12
127428	TCEANC2
201164	PLD6
11329	STK38
54581	SCAND2P
644	BLVRA
7094	TLN1
2975	GTF3C1
3930	LBR
27258	LSM3
7249	TSC2
10289	EIF1B
151556	GPR155
5335	PLCG1
9839	ZEB2
2901	GRIK5
84859	LRCH3
84617	TUBB6
388272	C16orf87
10908	PNPLA6
7324	UBE2E1
10438	C1D
54809	SAMD9
692085	SNORD45C
3189	HNRNPH3
3662	IRF4
80851	SH3BP5L
25983	NGDN
127262	TPRG1L
8736	MYOM1
2800	GOLGA1
168537	GIMAP7
8106	PABPN1
317761	C14orf39
9331	B4GALT6
5695	PSMB7
121536	AEBP2
149837	LINC00654
7534	YWHAZ
203228	C9orf72
51111	KMT5B
9689	BZW1
25939	SAMHD1
57794	SUGP1
10363	HMG20A
102723335	LOC102723335
84883	AIFM2
56341	PRMT8
29105	CFAP20
26226	FBXW4P1
10172	ZNF256
94241	TP53INP1
5701	PSMC2
114804	RNF157
11035	RIPK3
134430	WDR36
51499	TRIAP1
7697	ZNF138
3014	H2AX
3178	HNRNPA1
402176	RPL21P44
54927	CHCHD3
55183	RIF1
28647	TRAV35
81704	DOCK8
535	ATP6V0A1
338758	ATP2B1-AS1
80063	ATF7IP2
54537	SHLD2
55761	TTC17
101928747	NA
10475	TRIM38
8503	PIK3R3
4893	NRAS
6059	ABCE1
81628	TSC22D4
23125	CAMTA2
9559	VPS26A
4824	NKX3-1
10009	ZBTB33
29899	GPSM2
80208	SPG11
7570	ZNF22
9530	BAG4
26953	RANBP6
5027	P2RX7
9034	CCRL2
526	ATP6V1B2
4783	NFIL3
9167	COX7A2L
9600	PITPNM1
8357	H3C10
730087	ZNF726
4088	SMAD3
57190	SELENON
84626	KRBA1
2475	MTOR
8864	PER2
200933	FBXO45
84298	LLPH
100127983	C8orf88
3831	KLC1
23140	ZZEF1
128486	FITM2
10636	RGS14
26813	SNORD36C
494514	TYMSOS
9468	PCYT1B
10576	CCT2
10105	PPIF
162427	RETREG3
54838	WBP1L
22902	RUFY3
79801	SHCBP1
83638	C11orf68
105379045	NA
9782	MATR3
5916	RARG
7984	ARHGEF5
7296	TXNRD1
23164	MPRIP
11046	SLC35D2
51029	DESI2
80198	MUS81
9107	MTMR6
80142	PTGES2
91353	IGLL3P
4067	LYN
641638	SNHG6
22848	AAK1
55690	PACS1
117143	TADA1
9589	WTAP
51727	CMPK1
79092	CARD14
64168	NECAB1
313	AOAH
11120	BTN2A1
1054	CEBPG
1719	DHFR
9861	PSMD6
2287	FKBP3
1486	CTBS
2078	ERG
55748	CNDP2
3559	IL2RA
64418	TMEM168
54497	HEATR5B
2323	FLT3LG
4249	MGAT5
5795	PTPRJ
51616	TAF9B
2537	IFI6
80013	MINDY3
29128	UHRF1
2958	GTF2A2
26271	FBXO5
81034	SLC25A32
9827	RGP1
441733	PRKXP1
92597	MOB1B
2260	FGFR1
4673	NAP1L1
4718	NDUFC2
4193	MDM2
93973	ACTR8
6627	SNRPA1
50831	TAS2R3
79866	BORA
10591	DNPH1
1773	DNASE1
126069	ZNF491
2	A2M
2187	FANCB
23645	PPP1R15A
6789	STK4
654320	SNORA8
9682	KDM4A
4698	NDUFA5
221937	FOXK1
148418	SAMD13
81620	CDT1
53371	NUP54
146691	TOM1L2
7458	EIF4H
23221	RHOBTB2
147965	FAM98C
22884	WDR37
27316	RBMX
9701	PPP6R2
22984	PDCD11
51684	SUFU
28581	TRBV11-2
339751	MAP3K20-AS1
1665	DHX15
25973	PARS2
286827	TRIM59
57659	ZBTB4
55604	CARMIL1
79891	ZNF671
8774	NAPG
10847	SRCAP
22931	RAB18
196872	LINC00638
3608	ILF2
868	CBLB
9240	PNMA1
52	ACP1
6855	SYP
55681	SCYL2
817	CAMK2D
104	ADARB1
55293	UEVLD
3702	ITK
400569	MED11
402682	UFSP1
91	ACVR1B
11335	CBX3
84861	KLHL22
8455	ATRN
80010	RMI1
6628	SNRPB
55593	OTUD5
114796	PSMG3-AS1
401466	RBIS
116447	TOP1MT
57479	PRR12
100507290	ZNF865
100288142	NBPF20
55565	ZNF821
80317	ZKSCAN3
7046	TGFBR1
51703	ACSL5
7752	ZNF200
646576	HHIP-AS1
26472	PPP1R14B
9372	ZFYVE9
7334	UBE2N
57453	DSCAML1
157769	FAM91A1
100507118	PRC1-AS1
23321	TRIM2
6711	SPTBN1
5479	PPIB
51062	ATL1
10135	NAMPT
79671	NLRX1
55055	ZWILCH
5366	PMAIP1
55764	IFT122
55010	PARPBP
9055	PRC1
10376	TUBA1B
54836	BSPRY
51121	RPL26L1
25941	TPGS2
23341	DNAJC16
663	BNIP2
130916	MTERF4
87769	GGACT
155066	ATP6V0E2
25865	PRKD2
58986	PGAP6
100874291	ALMS1-IT1
160518	DENND5B
10780	ZNF234
165324	UBXN2A
1195	CLK1
54875	CNTLN
121256	TMEM132D
23112	TNRC6B
5566	PRKACA
3939	LDHA
388969	C2orf68
140735	DYNLL2
100128569	C19orf71
410	ARSA
283899	INO80E
6742	SSBP1
4076	CAPRIN1
5467	PPARD
102724552	RERE-AS1
92912	UBE2Q2
11235	PDCD10
103091866	LINC01145
25925	ZNF521
137682	NDUFAF6
1111	CHEK1
10320	IKZF1
56675	NRIP3
90378	SAMD1
128239	IQGAP3
51194	IPO11
7681	MKRN3
100130855	USP3-AS1
79724	ZNF768
643641	ZNF862
5900	RALGDS
9194	SLC16A7
55421	NCBP3
9402	GRAP2
79868	ALG13
28653	TRAV29DV5
9846	GAB2
509	ATP5F1C
6932	TCF7
55180	LINS1
9757	KMT2B
3695	ITGB7
57498	KIDINS220
9601	PDIA4
4354	MPP1
10516	FBLN5
9354	UBE4A
57594	HOMEZ
25976	TIPARP
7163	TPD52
94239	H2AZ2
375387	NRROS
5996	RGS1
6483	ST3GAL2
5689	PSMB1
54674	LRRN3
56252	YLPM1
11138	TBC1D8
100873747	RNU6-30P
8339	H2BC8
29080	CCDC59
8819	SAP30
81788	NUAK2
101060091	ACTR3-AS1
36	ACADSB
1785	DNM2
10434	LYPLA1
64101	LRRC4
85027	SMIM3
